Año,Asignatura,Porcentaje_Aprobados
2017,Formulacion y Evaluacion de Proyectos,0.8696
2017,Software Contable,0.6481
2017,Diseño de Páginas Web,0.6602
2017,Diseño y Gestion de Base de Datos,1
2017,Herramientas de Desarrollo II,0.5132
2017,Contabilidad I,0.4046
2017,Arquitectura del Computador,0.3923
2017,Matemática III,0.6996
2017,Administración de Centros de Computo,0.8571
2017,Análisis y Diseño de Sist. de Inf. I,0.7325
2017,Base de Datos II,0.6456
2017,Sistemas Distribuidos,0.7391
2017,Algorítmica I,0.373
2017,Contabilidad II,0.6012
2017,Redes y Teleprocesos,1
2018,Matemática III,0.7466
2018,Algorítmica I,0.5333
2018,Sistemas Distribuidos,0.6436
2018,Desarrollo de Software,0.867
2018,Diseño de Páginas Web,0.7024
2018,Analisis y Diseño de Sistemas,0.9785
2018,Herramientas de Desarrollo IV,0.6976
2018,Redes y Teleprocesos,0.9892
2018,Contabilidad I,0.5514
2018,Herramientas de Desarrollo III,0.6652
2018,Algorítmica II,0.4904
2018,Diseño Gráfico,0.6115
2018,Herramientas de Desarrollo I,0.555
2018,Diseño y Gestion de Base de Datos,0.9785
2018,Herramientas de Desarrollo de Software,0.9677
2018,Contabilidad II,0.5573
2018,Administración de Centros de Computo,0.9149
2018,Arquitectura del Computador,0.5622
2018,Análisis y Diseño de Sist. de Inf. II,0.7317
2018,Administración y Liderazgo,0.8
2018,Análisis y Diseño de Sist. de Inf. I,0.7828
2018,Herramientas de Desarrollo II,0.5637
2018,Ofimatica,0.609
2018,Software Contable,0.6083
2018,Formulacion y Evaluacion de Proyectos,0.9043
2018,Matemática II,0.551
2018,Redes y Conectividad,0.7557
2018,Base de Datos I,0.7285
2018,Base de Datos II,0.6
2018,Matemática I,0.5369
2018,Comercio Electronico,0.8085
2019,Redes y Teleprocesos,0.549
2019,Formulacion y Evaluacion de Proyectos,0.9634
2019,Analisis y Diseño de Sistemas,0.549
2019,Herramientas de Desarrollo III,0.7241
2019,Análisis y Diseño de Sist. de Inf. II,0.7563
2019,Algorítmica I,0.5307
2019,Sistemas Distribuidos,0.9451
2019,Matemática III,0.7371
2019,Administración de Centros de Computo,0.9512
2019,Arquitectura del Computador,0.5054
2019,Diseño y Gestion de Base de Datos,0.549
2019,Herramientas de Desarrollo II,0.5364
2019,Contabilidad II,0.5445
2019,Diseño Gráfico,0.6199
2019,Redes y Conectividad,0.5259
2019,Diseño de Páginas Web,0.8376
2019,Software Contable,0.566
2019,Contabilidad I,0.4639
2019,Matemática II,0.496
2019,Herramientas de Desarrollo de Software,0.549
2019,Herramientas de Desarrollo IV,0.7513
2019,Base de Datos II,0.6954
2019,Herramientas de Desarrollo I,0.5289
2019,Base de Datos I,0.7629
2019,Algorítmica II,0.5283
2019,Comercio Electronico,0.939
2019,Matemática I,0.5451
2019,Ofimatica,0.6137
2019,Administración y Liderazgo,0.8832
2019,Análisis y Diseño de Sist. de Inf. I,0.7759
2019,Desarrollo de Software,0.939
